datetime_CO_rf_108,CO_ref_108,CO_fit_108,CO_T_108,CO_RH_108
2016-08-10 00:00:00,111.478,114.662058566667,26.4,64.9492
2016-08-10 00:14:59,117.152,118.8599079,26.4,65.0836
2016-08-10 00:30:00,116.267,116.9660757,26.3109,65.0273
2016-08-10 00:45:00,117.996,117.744708206667,26.22,65.0436
2016-08-10 00:59:59,117.785,118.2055236,26.1018,65.1018
2016-08-10 01:15:00,121.311,117.656164566667,26.02,65.0467
2016-08-10 01:30:00,112.263,111.981041266666,25.9518,64.9125
2016-08-10 01:44:59,109.304,108.057460433333,25.9,64.8145
2016-08-10 02:00:00,106.693,106.2259201,25.8418,64.7636
2016-08-10 02:15:00,103.867,104.7633793,25.8,64.7145
2016-08-10 02:29:59,105.404,104.7278263,25.7102,64.883
2016-08-10 02:45:00,106.241,106.046402766667,25.7,65.0772
2016-08-10 03:00:00,105.356,105.339063026667,25.6727,65.3055
2016-08-10 03:14:59,100.33,102.365632466667,23.78,65.4927
2016-08-10 03:30:00,103,103.2894338,25.5018,65.6357
2016-08-10 03:45:00,101.644,102.4824214,25.431,65.8431
2016-08-10 03:59:59,102.859,102.1529295,25.3339,66.1441
2016-08-10 04:15:00,99.063,102.3873126,25.24,66.4327
2016-08-10 04:30:00,102.97,103.784810773333,25.1927,66.7491
2016-08-10 04:44:59,106.893,107.30541326,25.1018,66.9411
2016-08-10 05:00:00,107.263,109.668789076667,25.1,67.3321
2016-08-10 05:15:00,110.615,110.75849476,25.1,67.5717
2016-08-10 05:29:59,120.556,121.524537233333,25.0946,67.9268
2016-08-10 05:45:00,128.411,128.110927733333,25.0073,68.1436
2016-08-10 06:00:00,126.785,127.8472346,25.0036,68.2073
2016-08-10 06:14:59,128.959,127.954211433333,25.0982,68.2518
2016-08-10 06:30:00,127.533,128.881097966667,25.1,68.3763
2016-08-10 06:45:00,132.904,131.430348266667,25.131,68.3293
2016-08-10 06:59:59,133.944,133.974120733334,25.38,68.1327
2016-08-10 07:15:00,156.196,167.762462833334,26.0091,67.3745
2016-08-10 07:30:00,143.963,141.6920712,26.6727,65.8418
2016-08-10 07:44:59,147.485,138.9459212,26.7,65.4965
2016-08-10 08:00:00,141,138.9626183,24.7783,65.6267
2016-08-10 08:15:00,136.963,134.828710666667,27.0564,65.2109
2016-08-10 08:29:59,134.956,154.085962646667,27.9418,63.8291
2016-08-10 08:45:00,139.489,135.426146766667,28.9891,61.4455
2016-08-10 09:00:00,134.607,131.1352957,29.3509,59.9964
2016-08-10 09:14:59,134.789,134.114293533333,29.88,59.1217
2016-08-10 09:30:00,123.356,125.1112054,30.6193,56.9632
2016-08-10 09:45:00,129.163,124.9345906,30.5564,56.42
2016-08-10 09:59:59,128.9,126.5469009,30.4,56.8491
2016-08-10 10:15:00,132.693,128.5969176,30.3927,56.9036
2016-08-10 10:30:00,113.467,118.4130532,30.5586,56.4207
2016-08-10 10:44:59,110.215,124.146388866666,30.7831,55.761
2016-08-10 11:00:00,105.644,111.694808766667,30.8909,55.8182
2016-08-10 11:15:00,113.237,115.397500866667,31.2873,55.4691
2016-08-10 11:29:59,108.285,116.101024726667,29.4473,54.8436
2016-08-10 11:45:00,116.444,116.730573233333,32.1786,54.0946
2016-08-10 12:00:00,107.522,112.7611146,32.1017,53.98
2016-08-10 12:14:59,120.715,124.187996833333,32.1618,54.5236
2016-08-10 12:30:00,114.678,118.357934666667,32.54,53.5436
2016-08-10 12:45:00,124.93,126.0752126,32.6909,53.3709
2016-08-10 12:59:59,135.63,133.7148547,32.8636,53.4291
2016-08-10 13:15:00,132.444,130.839553086667,32.9783,53.4467
2016-08-10 13:30:00,138.044,141.2171751,33.1596,53.3035
2016-08-10 13:44:59,140.122,138.699233666667,33.6945,52.3345
2016-08-10 14:00:00,147.378,210.738907566666,34.0455,51.4727
2016-08-10 14:15:00,133.304,134.5019083,34.4891,50.2491
2016-08-10 14:29:59,147.6,139.4955856,34.5466,49.4
2016-08-10 14:45:00,127.341,130.606202366667,34.0138,50.1052
2016-08-10 15:00:00,140.885,136.438714753333,33.0655,53.1
2016-08-10 15:14:59,145.944,143.807692403333,31.6339,57.9089
2016-08-10 15:30:00,123.204,123.948732763333,29.3259,63.3593
2016-08-10 15:45:00,105.344,131.446505056667,27.107,67.3439
2016-08-10 15:59:59,161.037,185.459405666666,26.1533,73.1367
2016-08-10 16:15:00,181.348,183.039639266666,25.7255,76.1382
2016-08-10 16:30:00,173.511,186.354465466666,25.4855,78.0745
2016-08-10 16:44:59,178.585,205.675116233334,25.5509,80.2127
2016-08-10 17:00:00,216.8,234.0292959,26.0236,80.9873
2016-08-10 17:15:00,241.196,253.045590666667,27.2333,79.0367
2016-08-10 17:29:59,287.844,273.281023666666,27.3596,78.9544
2016-08-10 17:45:00,299.433,287.728378966667,27.4218,79.7527
2016-08-10 18:00:00,241.033,256.2355673,27.4345,78.4545
2016-08-10 18:14:59,224.852,237.281982566666,27.3509,78.9036
2016-08-10 18:30:00,280.119,274.833911033334,27.1414,79.6034
2016-08-10 18:45:00,292.459,292.908873633333,26.9153,79.8034
