datetime_CO_rf_114,CO_ref_114,CO_fit_114,CO_T_114,CO_RH_114
2016-08-10 00:00:00,111.478,118.355674766667,26.4255,64.3018
2016-08-10 00:14:59,117.152,119.930743233334,26.3971,64.4129
2016-08-10 00:30:00,116.267,121.140057133333,26.3036,64.46
2016-08-10 00:45:00,117.996,119.6005489,26.3,64.41
2016-08-10 00:59:59,117.785,119.3165934,26.2382,64.5073
2016-08-10 01:15:00,121.311,120.92933668,26.1127,64.4309
2016-08-10 01:30:00,112.263,113.87312116,26.1,64.3
2016-08-10 01:44:59,109.304,109.086605113333,26.0509,64.1655
2016-08-10 02:00:00,106.693,105.932468073333,25.9881,64.139
2016-08-10 02:15:00,103.867,104.350044746666,25.9,64.1293
2016-08-10 02:29:59,105.404,104.735213136667,25.8204,64.25
2016-08-10 02:45:00,106.241,105.444055146667,25.7473,64.3964
2016-08-10 03:00:00,105.356,104.837288176667,25.6982,64.6655
2016-08-10 03:14:59,100.33,102.226978536667,25.6017,64.8483
2016-08-10 03:30:00,103,102.954943853333,25.6,65.0293
2016-08-10 03:45:00,101.644,102.586647233333,25.5636,65.1945
2016-08-10 03:59:59,102.859,102.238590723333,25.4564,65.5345
2016-08-10 04:15:00,99.063,101.47032955,25.4,65.8527
2016-08-10 04:30:00,102.97,103.31988809,25.3018,66.1105
2016-08-10 04:44:59,106.893,105.58143489,25.2683,66.3583
2016-08-10 05:00:00,107.263,109.923355386667,25.2,66.7315
2016-08-10 05:15:00,110.615,114.460301566667,25.1375,66.9018
2016-08-10 05:29:59,120.556,121.6077681,25.1,67.3071
2016-08-10 05:45:00,128.411,128.8615104,25.0964,67.5
2016-08-10 06:00:00,126.785,127.449910733334,25.09,67.5483
2016-08-10 06:14:59,128.959,128.363809533334,25.1,67.6196
2016-08-10 06:30:00,127.533,128.819024566667,25.1927,67.7236
2016-08-10 06:45:00,132.904,134.10862345,25.2909,67.6345
2016-08-10 06:59:59,133.944,143.16491755,25.5636,67.2691
2016-08-10 07:15:00,156.196,169.463812066667,26.4186,66.0356
2016-08-10 07:30:00,143.963,151.911337566667,27.1123,64.0754
2016-08-10 07:44:59,147.485,140.3232977,27.1,63.9071
2016-08-10 08:00:00,141,137.566770833333,27.0786,64.1696
2016-08-10 08:15:00,136.963,143.105753933334,27.58,63.4673
2016-08-10 08:29:59,134.956,152.428634266667,29.1912,60.6895
2016-08-10 08:45:00,139.489,137.508087233334,30.5814,57.3966
2016-08-10 09:00:00,134.607,132.5312026,30.6545,56.3709
2016-08-10 09:14:59,134.789,134.721548766667,31.1527,55.6855
2016-08-10 09:30:00,123.356,124.2680266,31.9455,53.5309
2016-08-10 09:45:00,129.163,122.8017777,31.7482,53.1643
2016-08-10 09:59:59,128.9,126.304186166667,31.39,54.035
2016-08-10 10:15:00,132.693,129.2011726,31.2164,54.3
2016-08-10 10:30:00,113.467,116.617897833333,31.4509,53.8618
2016-08-10 10:44:59,110.215,112.65404052,31.6,53.3018
2016-08-10 11:00:00,105.644,111.198929866667,31.6482,53.5286
2016-08-10 11:15:00,113.237,114.907096766667,31.9339,53.4254
2016-08-10 11:29:59,108.285,115.7326741,32.3211,53.0702
2016-08-10 11:45:00,116.444,115.437779986667,32.68,52.4091
2016-08-10 12:00:00,107.522,111.9745603,32.5545,52.4564
2016-08-10 12:14:59,120.715,122.264255666667,32.5545,53.0764
2016-08-10 12:30:00,114.678,118.0088865,32.9914,52.0431
2016-08-10 12:45:00,124.93,126.8627514,33.2508,51.7949
2016-08-10 12:59:59,135.63,133.116260533333,33.46,51.7818
2016-08-10 13:15:00,132.444,131.7983056,33.5018,51.7891
2016-08-10 13:30:00,138.044,138.248591766667,33.6741,51.663
2016-08-10 13:44:59,140.122,136.572624966667,34.1439,50.7614
2016-08-10 14:00:00,147.378,256.460623299999,34.3237,50.1237
2016-08-10 14:15:00,133.304,134.80786106,34.6018,49.1836
2016-08-10 14:29:59,147.6,138.149435666667,34.6607,48.6089
2016-08-10 14:45:00,127.341,126.359575633333,34.2357,49.2143
2016-08-10 15:00:00,140.885,133.53625242,33.3655,52.14
2016-08-10 15:14:59,145.944,144.11129646,31.905,57.1633
2016-08-10 15:30:00,123.204,132.480079873333,29.4607,62.6482
2016-08-10 15:45:00,105.344,130.500686676666,27.1418,66.8327
2016-08-10 15:59:59,161.037,174.127153899999,26.2764,72.3036
2016-08-10 16:15:00,181.348,189.2330603,25.9127,74.9945
2016-08-10 16:30:00,173.511,190.810397333333,25.6153,76.5932
2016-08-10 16:44:59,178.585,202.120856233334,25.6517,78.5517
2016-08-10 17:00:00,216.8,241.797947133334,26.1527,79.18
2016-08-10 17:15:00,241.196,253.961279166666,27.1273,77.26
2016-08-10 17:29:59,287.844,289.682755866667,27.5836,76.4636
2016-08-10 17:45:00,299.433,311.762374766667,27.7614,76.8281
2016-08-10 18:00:00,241.033,263.193615599999,27.8617,75.0283
2016-08-10 18:14:59,224.852,237.3646234,27.8,75.4655
2016-08-10 18:30:00,280.119,283.602351766667,27.6018,76.1839
2016-08-10 18:45:00,292.459,292.086189766667,27.2127,76.5218
2016-08-10 18:59:59,294.711,284.463666266667,26.9273,77.4018
2016-08-10 19:15:00,280.363,284.3282448,26.555,78.25
2016-08-10 19:30:00,255.633,252.707787033333,26.3018,79.0214
2016-08-10 19:44:59,225.981,227.0132869,26.1929,79.5179
2016-08-10 20:00:00,211.085,213.2155421,26.0018,80.0946
2016-08-10 20:15:00,208.037,211.830924133333,25.8418,80.5636
2016-08-10 20:29:59,208.681,212.118751033333,25.7,80.9441
2016-08-10 20:45:00,216.993,216.615680033333,25.7,81.3456
2016-08-10 21:00:00,221.281,228.5278068,25.7,81.6927
2016-08-10 21:14:59,218.43,219.1175965,25.6218,81.6255
2016-08-10 21:30:00,231.9,235.284578033333,25.62,81.9382
2016-08-10 21:45:00,243.641,243.180381466667,25.6,82.0793
2016-08-10 21:59:59,248.274,248.889421866667,25.5847,82.0136
2016-08-10 22:15:00,246.256,246.8071891,25.4782,82.2055
2016-08-10 22:30:00,238.37,240.0166352,25.3909,82.6545
2016-08-10 22:44:59,246.696,243.813241066667,25.3,83.0218
2016-08-10 23:00:00,159.852,163.8705331,23.2018,82.2714
2016-08-11 10:30:00,167.975,163.997898733333,32.1914,58.9793
2016-08-11 10:44:59,174.607,169.0856785,32.2,59.3089
2016-08-11 11:00:00,167.452,166.6784111,32.2655,59.4745
2016-08-11 11:15:00,170.77,172.693384066667,30.32,59.2073
2016-08-11 11:29:59,163.156,164.545360266667,32.8228,58.493
2016-08-11 11:45:00,173.137,168.4207312,32.8322,58.4661
2016-08-11 12:00:00,160.189,161.109790433333,33.0891,57.7945
2016-08-11 12:14:59,157.067,157.927777466666,33.5891,56.98
2016-08-11 12:30:00,154.293,155.053358466667,34.0418,55.6655
2016-08-11 12:45:00,155.322,155.253768933333,34.3679,54.475
2016-08-11 12:59:59,158.607,158.247375033334,34.5933,53.33
2016-08-11 13:15:00,165.541,161.825162733333,34.7464,52.7518
2016-08-11 13:30:00,155.478,155.7188892,34.7,52.1527
2016-08-11 13:44:59,154.785,157.432215033334,34.7,51.8982
2016-08-11 14:00:00,167.059,163.1182212,34.9164,51.9236
2016-08-11 14:15:00,164.5,160.907661433334,35.3644,51.222
2016-08-11 14:29:59,167.819,163.468716433334,35.4328,50.3276
2016-08-11 14:45:00,163.948,160.119837633333,35.3194,50.3583
2016-08-11 15:00:00,150.904,154.549700033333,35.5273,50.3236
