datetime_O3_rf_104,O3_ref_104,O3_fit_104,O3_T_104,O3_RH_104
2016-08-05 15:45:00,32.2989,34.5048578166667,33.8792,48.7472
2016-08-05 15:59:59,34.1237,35.53891653,34.5259,47.2707
2016-08-05 16:15:00,34.0446,35.5769143233333,34.2404,47.8298
2016-08-05 16:30:00,35.5729,35.3317089033333,33.7741,48.5037
2016-08-05 16:44:59,38.3218,38.1780165833333,33.3907,48.9074
2016-08-05 17:00:00,38.6948,38.7824169433333,32.4411,50.5893
2016-08-05 17:15:00,38.9364,38.5537293066666,31.6862,51.9483
2016-08-05 17:29:59,39.3624,38.7684331933334,31.0792,53.1434
2016-08-05 17:45:00,38.1193,38.03689001,30.5056,54.6241
2016-08-05 18:00:00,34.7133,35.1139283166666,29.94,56.7527
2016-08-05 18:14:59,32.7266,33.31006945,29.4847,58.6525
2016-08-05 18:30:00,30.8088,30.7804793366667,29.05,60.0556
2016-08-05 18:45:00,29.5749,29.93942286,28.7245,61.0547
2016-08-05 18:59:59,29.4187,29.65786369,28.4852,61.9556
2016-08-05 19:15:00,28.8549,29.2709507033333,28.2917,62.92
2016-08-05 19:30:00,28.8004,29.1153564933333,27.9833,63.8537
2016-08-05 19:44:59,29.8081,29.3988053366667,27.8093,64.0407
2016-08-05 20:00:00,29.8478,29.5279623766666,27.7226,64.2113
2016-08-05 20:15:00,29.2866,28.9262256366666,27.5729,64.5678
2016-08-05 20:29:59,28.3333,28.92960991,27.3818,65.1945
2016-08-05 20:45:00,27.1312,27.9330066633333,27.1889,65.837
2016-08-05 21:00:00,26.7143,27.30040597,25.1315,66.5537
2016-08-05 21:14:59,25.9874,26.0523741533333,26.7825,67.2719
2016-08-05 21:30:00,25.0747,25.3017246533333,26.607,68.0649
2016-08-05 21:45:00,24.586,24.46057987,26.5,68.6019
2016-08-05 21:59:59,24.1505,24.39949533,26.3519,69.2056
2016-08-05 22:15:00,22.7198,23.6227167833334,26.1732,70.0679
2016-08-05 22:30:00,21.6808,22.3157686733334,26.0052,71.0793
2016-08-05 22:44:59,20.5625,19.9413672333333,25.9226,71.9038
2016-08-05 23:00:00,19.9728,19.8905352533333,25.8167,72.6
2016-08-05 23:15:00,19.3582,19.4928987333333,25.7927,73.2364
