datetime_CO_rf_116,CO_ref_116,CO_fit_116,CO_T_116,CO_RH_116
2016-08-10 00:00:00,111.478,115.2770553,26.6,64.2937
2016-08-10 00:14:59,117.152,117.496200366667,26.5455,64.3655
2016-08-10 00:30:00,116.267,116.5012649,26.5,64.3
2016-08-10 00:45:00,117.996,117.481658866667,26.3982,64.3491
2016-08-10 00:59:59,117.785,118.127175266667,26.2898,64.478
2016-08-10 01:15:00,121.311,118.485876,26.2,64.3931
2016-08-10 01:30:00,112.263,112.385969033333,26.1196,64.2232
2016-08-10 01:44:59,109.304,108.345125866666,26.1,64.0481
2016-08-10 02:00:00,106.693,107.552764066667,26.0291,63.9982
2016-08-10 02:15:00,103.867,103.821428466666,26,64.0638
2016-08-10 02:29:59,105.404,105.9972191,25.9983,64.1965
2016-08-10 02:45:00,106.241,109.725420866667,25.9,64.3618
2016-08-10 03:00:00,105.356,105.048099733333,25.86,64.5636
2016-08-10 03:14:59,100.33,102.132867233333,25.7782,64.7309
2016-08-10 03:30:00,103,103.127698633333,25.7,64.9263
2016-08-10 03:45:00,101.644,102.681093933333,25.6322,65.1
2016-08-10 03:59:59,102.859,103.124454066666,25.5375,65.4125
2016-08-10 04:15:00,99.063,101.681493166667,25.4571,65.6929
2016-08-10 04:30:00,102.97,103.914737266667,25.4,65.9509
2016-08-10 04:44:59,106.893,105.9453296,25.35,66.175
2016-08-10 05:00:00,107.263,108.692019166667,25.2783,66.6017
2016-08-10 05:15:00,110.615,111.895052233333,25.2,66.8143
2016-08-10 05:29:59,120.556,117.054746733333,25.2,67.1618
2016-08-10 05:45:00,128.411,126.430542733333,25.2,67.3709
2016-08-10 06:00:00,126.785,126.9293238,25.2,67.4982
2016-08-10 06:14:59,128.959,126.2959109,25.2,67.5508
2016-08-10 06:30:00,127.533,127.385283966667,25.2,67.6825
2016-08-10 06:45:00,132.904,132.271755066667,25.3473,67.62
2016-08-10 06:59:59,133.944,134.439190033334,25.5873,67.3636
2016-08-10 07:15:00,156.196,163.249300566667,26.2018,66.6764
2016-08-10 07:30:00,143.963,137.293900866667,26.8897,65.0207
2016-08-10 07:44:59,147.485,137.0556029,26.9356,64.6
2016-08-10 08:00:00,141,140.230469833334,26.9255,64.6891
2016-08-10 08:15:00,136.963,137.228567966667,27.42,64.1545
2016-08-10 08:29:59,134.956,147.864025966667,28.5222,62.3833
2016-08-10 08:45:00,139.489,134.170426833334,29.7018,59.7035
2016-08-10 09:00:00,134.607,127.2239153,30.0033,58.2183
2016-08-10 09:14:59,134.789,134.5021593,30.5727,57.38
2016-08-10 09:30:00,123.356,124.997431633333,31.2643,55.4
2016-08-10 09:45:00,129.163,124.995827033333,31.1111,54.9944
2016-08-10 09:59:59,128.9,125.330292066667,30.7768,55.6661
2016-08-10 10:15:00,132.693,127.177380933333,29.0333,55.885
2016-08-10 10:30:00,113.467,117.736417333333,30.9054,55.4446
2016-08-10 10:44:59,110.215,111.607198333333,31.0945,54.8582
2016-08-10 11:00:00,105.644,110.8186942,31.1582,55.0655
2016-08-10 11:15:00,113.237,112.7233464,31.4691,54.9127
2016-08-10 11:29:59,108.285,113.490912466667,31.9254,54.4627
2016-08-10 11:45:00,116.444,116.615035566667,32.2649,53.7263
2016-08-10 12:00:00,107.522,111.569768566666,32.2418,53.66
2016-08-10 12:14:59,120.715,125.883068966666,30.12,54.1455
2016-08-10 12:30:00,114.678,117.615404533333,32.7182,53.1891
2016-08-10 12:45:00,124.93,124.630567733333,32.9517,52.9379
2016-08-10 12:59:59,135.63,133.8782738,33.0655,52.9345
2016-08-10 13:15:00,132.444,132.678944833333,33.1309,52.9273
2016-08-10 13:30:00,138.044,138.5942126,33.3782,52.8182
2016-08-10 13:44:59,140.122,137.1850612,33.8345,51.94
2016-08-10 14:00:00,147.378,179.570454666666,34.1965,51.0561
2016-08-10 14:15:00,133.304,133.7699061,34.5667,49.915
2016-08-10 14:29:59,147.6,142.1972866,34.6055,49.2564
2016-08-10 14:45:00,127.341,132.6790541,34.2164,49.7782
2016-08-10 15:00:00,140.885,137.243306233333,33.3945,52.4345
2016-08-10 15:14:59,145.944,140.297848933333,32.0782,57.0145
2016-08-10 15:30:00,123.204,121.261889466667,29.6383,62.27
2016-08-10 15:45:00,105.344,118.874573066666,27.2768,66.5482
2016-08-10 15:59:59,161.037,188.229072733333,26.3607,72.05
2016-08-10 16:15:00,181.348,215.949265866666,25.9618,74.86
2016-08-10 16:30:00,173.511,202.310456066666,25.6709,76.6691
2016-08-10 16:44:59,178.585,210.839891933334,25.6932,78.8508
2016-08-10 17:00:00,216.8,228.9575099,26.1448,79.8707
2016-08-10 17:15:00,241.196,250.551816233333,26.9796,78.5556
2016-08-10 17:29:59,287.844,272.596326866667,27.3709,78.1455
2016-08-10 17:45:00,299.433,329.536961466666,27.5509,78.5073
2016-08-10 18:00:00,241.033,250.639605433333,27.6672,77.1224
2016-08-10 18:14:59,224.852,242.484298466667,27.6153,77.3458
2016-08-10 18:30:00,280.119,272.777698,27.4618,78.0236
2016-08-10 18:45:00,292.459,293.255239833334,27.1418,78.2218
2016-08-10 18:59:59,294.711,296.6647364,26.8382,78.9164
2016-08-10 19:15:00,280.363,286.0922179,26.5857,79.6196
2016-08-10 19:30:00,255.633,260.208611166667,26.3283,80.35
2016-08-10 19:44:59,225.981,224.900580466667,26.1536,80.8464
2016-08-10 20:00:00,211.085,214.178323866667,26.0089,81.2875
2016-08-10 20:15:00,208.037,210.044396866666,25.9519,81.763
2016-08-10 20:29:59,208.681,210.945403533333,25.8236,82.0509
2016-08-10 20:45:00,216.993,220.157799133333,25.8,82.365
2016-08-10 21:00:00,221.281,226.175613333334,25.8,82.6661
2016-08-10 21:14:59,218.43,218.413128766666,25.8,82.5073
2016-08-10 21:30:00,231.9,231.347064266666,25.7527,82.7945
2016-08-10 21:45:00,243.641,241.47997,25.6764,82.9727
2016-08-10 21:59:59,248.274,248.697237633334,25.6017,82.8932
2016-08-10 22:15:00,246.256,247.229706066666,25.5448,83.0517
2016-08-10 22:30:00,238.37,242.629917866667,25.4418,83.4382
2016-08-10 22:44:59,246.696,243.409057266667,25.3636,83.6473
2016-08-10 23:00:00,159.852,166.0265802,25.2873,82.9727
2016-08-11 10:30:00,167.975,167.295725233334,31.4945,61.8727
2016-08-11 10:44:59,174.607,172.572679066667,31.62,62.0636
2016-08-11 11:00:00,167.452,167.302901166667,31.8255,61.9709
2016-08-11 11:15:00,170.77,170.125162866667,32.1298,61.5737
2016-08-11 11:29:59,163.156,165.561927533334,32.4492,60.5797
2016-08-11 11:45:00,173.137,175.734238733334,32.525,60.3429
2016-08-11 12:00:00,160.189,160.909083633333,32.8327,59.7236
2016-08-11 12:14:59,157.067,157.876069133333,33.2946,58.8304
2016-08-11 12:30:00,154.293,154.296193433333,33.7375,57.4964
2016-08-11 12:45:00,155.322,156.140884233333,34.1133,55.3233
2016-08-11 12:59:59,158.607,159.446296233334,34.4732,54.9054
2016-08-11 13:15:00,165.541,161.480616166667,34.6073,54.1164
