datetime_O3_rf_116,O3_ref_116,O3_fit_116,O3_T_116,O3_RH_116
2016-08-10 00:00:00,14.2241,13.88516344,26.6,64.2937
2016-08-10 00:14:59,13.2721,13.5327984133333,26.5455,64.3655
2016-08-10 00:30:00,13.3709,13.9074588133333,26.5,64.3
2016-08-10 00:45:00,13.8269,13.74139659,26.3982,64.3491
2016-08-10 00:59:59,13.5993,13.63950549,26.2898,64.478
2016-08-10 01:15:00,13.7861,13.9949993333333,26.2,64.3931
2016-08-10 01:30:00,14.548,14.6470910733333,26.1196,64.2232
2016-08-10 01:44:59,15.2538,15.4597303,26.1,64.0481
2016-08-10 02:00:00,15.9108,15.98619586,26.0291,63.9982
2016-08-10 02:15:00,16.0666,16.1685982833333,26,64.0638
2016-08-10 02:29:59,16.0494,16.0605484866667,25.9983,64.1965
2016-08-10 02:45:00,15.8852,15.9588424233333,25.9,64.3618
2016-08-10 03:00:00,16.1526,16.0607668933334,25.86,64.5636
2016-08-10 03:14:59,16.8651,16.5580116666667,25.7782,64.7309
2016-08-10 03:30:00,16.5314,16.41081862,25.7,64.9263
2016-08-10 03:45:00,16.3322,15.9317257033333,25.6322,65.1
2016-08-10 03:59:59,16.5829,16.1997741966667,25.5375,65.4125
2016-08-10 04:15:00,15.6966,15.4804013566667,25.4571,65.6929
2016-08-10 04:30:00,15.1649,15.0879020133333,25.4,65.9509
2016-08-10 04:44:59,14.9211,14.9823486666666,25.35,66.175
2016-08-10 05:00:00,14.5008,14.4573505086667,25.2783,66.6017
2016-08-10 05:15:00,14.3314,14.18067641,25.2,66.8143
2016-08-10 05:29:59,12.8332,12.8902420066667,25.2,67.1618
2016-08-10 05:45:00,12.1919,12.3839499153333,25.2,67.3709
2016-08-10 06:00:00,13.1364,12.8715271933334,25.2,67.4982
2016-08-10 06:14:59,12.5046,12.6109376533333,25.2,67.5508
2016-08-10 06:30:00,12.6442,12.4732442686667,25.2,67.6825
2016-08-10 06:45:00,12.0871,12.3149863623333,25.3473,67.62
2016-08-10 06:59:59,12.733,12.733050393,25.5873,67.3636
2016-08-10 07:15:00,13.1073,13.3889599863333,26.2018,66.6764
2016-08-10 07:30:00,12.6263,13.1837563346667,26.8897,65.0207
2016-08-10 07:44:59,11.9296,12.559117645,26.9356,64.6
2016-08-10 08:00:00,12.9541,12.9790274816667,26.9255,64.6891
2016-08-10 08:15:00,14.4478,14.328508918,27.42,64.1545
2016-08-10 08:29:59,16.3722,15.995341129,28.5222,62.3833
2016-08-10 08:45:00,17.7023,18.3062843376667,29.7018,59.7035
2016-08-10 09:00:00,19.0728,19.79471717,30.0033,58.2183
2016-08-10 09:14:59,21.7125,21.6755020066667,30.5727,57.38
2016-08-10 09:30:00,25.2559,25.2534352233334,31.2643,55.4
2016-08-10 09:45:00,24.9844,26.94244222,31.1111,54.9944
2016-08-10 09:59:59,24.1447,24.9599771066667,30.7768,55.6661
2016-08-10 10:15:00,23.5779,24.4974745166667,29.0333,55.885
2016-08-10 10:30:00,28.3134,27.5098742666667,30.9054,55.4446
2016-08-10 10:44:59,31.0844,30.94396971,31.0945,54.8582
2016-08-10 11:00:00,34.4833,33.95625608,31.1582,55.0655
2016-08-10 11:15:00,37.462,35.8071301033333,31.4691,54.9127
2016-08-10 11:29:59,37.9062,38.3615438666667,31.9254,54.4627
2016-08-10 11:45:00,38.6594,38.6969179733334,32.2649,53.7263
2016-08-10 12:00:00,38.8202,38.97583133,32.2418,53.66
2016-08-10 12:14:59,39.2209,39.27761042,30.12,54.1455
2016-08-10 12:30:00,40.1764,39.6799195566667,32.7182,53.1891
2016-08-10 12:45:00,38.8808,39.1392344366667,32.9517,52.9379
2016-08-10 12:59:59,38.2212,38.76047764,33.0655,52.9345
2016-08-10 13:15:00,37.404,39.1775256766667,33.1309,52.9273
2016-08-10 13:30:00,43.0114,41.1733638833333,33.3782,52.8182
