datetime_CO_rf_111,CO_ref_111,CO_fit_111,CO_T_111,CO_RH_111
2016-08-12 12:45:00,175.033,244.884262133333,28.4,79.5167
2016-08-12 12:59:59,183.707,295.590113299999,28.7704,76.5148
2016-08-12 13:15:00,259.874,257.842436833333,29.0218,79.2073
2016-08-12 13:30:00,190.289,206.487624433333,29.7155,77.4931
2016-08-12 13:44:59,171.067,185.2403158,30.561,74.5153
2016-08-12 14:00:00,154.5,181.5447023,28.6182,72.3418
2016-08-12 14:15:00,146.789,162.335912566667,30.4236,72.6745
2016-08-12 14:29:59,146.626,154.9991588,28.2727,77.4509
2016-08-12 14:45:00,148.563,162.011274633333,26.8821,82.7161
2016-08-12 15:00:00,142.693,171.3156899,26.2533,85.8233
2016-08-12 15:14:59,142.607,172.022589866667,26.72,88.4418
2016-08-12 15:30:00,149.819,185.289963233334,27.6145,88.98
2016-08-12 15:45:00,179.059,203.871029566666,28.3909,89.6091
2016-08-12 15:59:59,215.481,231.74275,29.08,88.4891
2016-08-12 16:15:00,227.141,225.829577866667,29.0633,85.5517
2016-08-12 16:30:00,189.004,194.269623966667,29.2211,85.4088
2016-08-12 16:44:59,184.874,192.638508433333,29.6564,84.3764
2016-08-12 17:00:00,185.07,180.913842333333,29.2855,83.2364
2016-08-12 17:15:00,203.152,203.887292533334,28.8745,85.3945
2016-08-12 17:29:59,227.185,226.545515166667,28.6138,86.3552
2016-08-12 17:45:00,236.359,229.3885387,28.6763,87.161
2016-08-12 18:00:00,227.256,220.829212533333,28.8,87.4714
2016-08-12 18:14:59,235.441,230.964992533333,28.7455,87.9473
2016-08-12 18:30:00,293.081,291.465419666667,28.5527,89.0364
2016-08-12 18:45:00,290.526,289.366949066667,28.3439,89.7123
2016-08-12 18:59:59,295.896,298.081977866666,28.07,90.2117
2016-08-12 19:15:00,305.078,303.206282866666,27.9,90.8582
2016-08-12 19:30:00,290.604,293.059551933333,27.8055,91.3655
2016-08-12 19:44:59,294.904,295.050356133333,27.6655,91.4309
2016-08-12 20:00:00,290.237,287.358100966666,27.3582,91.5836
2016-08-12 20:15:00,317.596,313.0319664,27.1633,92.075
2016-08-12 20:29:59,327.578,325.6181,26.9702,92.3105
2016-08-12 20:45:00,347.433,356.630358966667,26.8655,92.5145
2016-08-12 21:00:00,349.185,345.777447666667,26.72,92.3509
2016-08-12 21:14:59,334.448,330.392866366667,26.6618,92.2091
2016-08-12 21:30:00,288.622,286.314759466667,26.6,92.7
2016-08-12 21:45:00,274.8,270.952697,26.5695,93.2356
2016-08-12 21:59:59,273.319,271.155272033334,26.4554,92.8696
2016-08-12 22:15:00,297.763,287.810499333334,26.3145,93.4764
2016-08-12 22:30:00,336.396,328.253021766667,26.2364,93.8291
2016-08-12 22:44:59,360.207,344.338815166666,26.1333,93.9702
2016-08-12 23:00:00,361.278,349.306997633333,26.1,93.8467
2016-08-12 23:15:00,319.852,301.083391700001,26.0364,93.7636
2016-08-12 23:29:59,231.907,224.058123266667,25.9091,93.7691
2016-08-12 23:45:00,220.43,220.329668233333,25.8073,93.9836
2016-08-13 00:00:00,213.748,212.898360466667,25.7039,94.3994
