datetime_CO2_rf_117,CO2_ref_117,CO2_fit_117,CO2_T_117,CO2_RH_117
2016-08-05 00:00:00,427.154,430.664822133334,23.3644,40.2068
2016-08-05 00:14:59,428.735,431.346145733333,23.3855,38.8161
2016-08-05 00:30:00,430.316,431.855206066667,23.25,38.3452
2016-08-05 00:45:00,432.121,432.607311900001,23.0459,38.0279
2016-08-05 00:59:59,432.301,433.978097366667,22.8887,37.8048
2016-08-05 01:15:00,430.84,433.306356066667,22.72,37.4617
2016-08-05 01:30:00,431.041,432.292174133334,22.7183,39.6733
2016-08-05 01:44:59,431.262,432.671813733334,22.8,38.8117
2016-08-05 02:00:00,432.1,434.212655366667,22.7133,38.3183
2016-08-05 02:15:00,433.56,436.7347088,22.625,38.0667
2016-08-05 02:29:59,437.385,438.254155333334,22.535,39.3267
2016-08-05 02:45:00,438.57,436.255402866668,22.6903,38.8081
2016-08-05 03:00:00,438.803,438.169071600001,22.6557,38.4131
2016-08-05 03:14:59,441.176,440.897986400001,22.5279,38.0836
2016-08-05 03:30:00,443.509,442.4410929,22.5403,39.0323
2016-08-05 03:45:00,443.57,442.6833991,22.6,38.0738
2016-08-05 03:59:59,444.39,444.172008233334,22.5032,37.7516
2016-08-05 04:15:00,443.535,441.960571300001,22.4541,39.1246
2016-08-05 04:30:00,442.883,442.4587762,22.6,38.2557
2016-08-05 04:44:59,445.043,443.855283233333,22.5145,38.0839
2016-08-05 05:00:00,447.665,445.035251466666,22.5885,38.4754
2016-08-05 05:15:00,450.248,449.4595441,22.5661,37.6129
2016-08-05 05:29:59,450.337,450.620216966667,22.5525,38.6754
2016-08-05 05:45:00,453.941,449.6355036,22.6581,37.8194
2016-08-05 06:00:00,455.508,452.530134766667,22.5279,37.3164
2016-08-05 06:14:59,455.157,450.592312100001,22.405,38.415
2016-08-05 06:30:00,456.986,452.974731,22.5,38.47
2016-08-05 06:45:00,456.051,452.985858266667,22.4967,37.9233
2016-08-05 06:59:59,452.707,453.512472299999,22.3667,38.0817
2016-08-05 07:15:00,446.73,448.385709966667,22.3317,39.77
2016-08-05 07:30:00,444.461,445.264923633334,22.49,39.3533
2016-08-05 07:44:59,441.894,445.864864166667,22.5967,38.6934
2016-08-05 08:00:00,440.684,443.4399829,22.6,38.4323
2016-08-05 08:15:00,437.637,441.891740166666,22.6,38.6131
2016-08-05 08:29:59,434.782,436.665836233335,23.1306,57.4677
2016-08-05 08:45:00,432.574,439.7720751,24.7403,59.2758
2016-08-05 15:45:00,416.734,417.036481233333,33.2333,49.2722
2016-08-05 15:59:59,415.836,416.855495033334,33.6259,48.1172
2016-08-05 16:15:00,415.372,415.907442133334,33.4375,48.6375
2016-08-05 16:30:00,415.595,416.466366333334,33.2094,49.1566
2016-08-05 16:44:59,415.779,415.988566700001,33.0167,49.2759
2016-08-05 17:00:00,416.367,416.6126316,32.4053,50.4035
2016-08-05 17:15:00,417.144,417.1033083,31.8321,51.3946
2016-08-05 17:29:59,417.56,417.592364233333,31.2509,52.5396
2016-08-05 17:45:00,418.103,418.297487033333,30.6352,53.9889
2016-08-05 18:00:00,418.295,418.290519433334,30.0386,55.3719
2016-08-05 18:14:59,417.844,418.848940766667,29.5158,58.1789
2016-08-05 18:30:00,418.882,420.1286411,29.1019,59.5943
2016-08-05 18:45:00,419.721,420.403930133334,28.7887,60.6151
2016-08-05 18:59:59,420.143,420.577490666667,28.5263,61.5421
2016-08-05 19:15:00,421.282,422.110748833334,28.2603,62.5397
2016-08-05 19:30:00,423.592,424.0975597,28.05,63.4593
2016-08-05 19:44:59,423.317,424.826561833333,27.8444,63.6963
2016-08-05 20:00:00,424.222,425.601716066667,27.6891,63.8964
2016-08-05 20:15:00,426.754,427.197535233333,27.5339,64.2441
2016-08-05 20:29:59,428.868,428.461073699999,27.434,64.8811
2016-08-05 20:45:00,431.297,430.764339933333,27.2148,65.513
2016-08-05 21:00:00,432.162,431.9745279,26.9722,66.2704
2016-08-05 21:14:59,434.104,433.783819733333,26.8317,67.03
2016-08-05 21:30:00,435.866,435.3044074,26.6426,67.837
2016-08-05 21:45:00,437.228,436.875431,26.4722,68.3204
2016-08-05 21:59:59,437.283,437.386788033333,26.3315,68.9167
2016-08-05 22:15:00,438.839,437.601244033334,26.2,69.8051
2016-08-05 22:30:00,437.743,437.950582366666,26.0691,70.8273
2016-08-05 22:44:59,437.954,438.512733233333,25.9472,71.6547
2016-08-05 23:00:00,438.767,439.356432066667,25.8259,72.3352
2016-08-05 23:15:00,440.468,440.297463766666,25.6828,73.0121
2016-08-05 23:29:59,441.724,441.422697266666,25.5714,73.4643
2016-08-05 23:45:00,441.495,444.5901007,25.5,73.8
2016-08-06 00:00:00,441.854,443.4423731,25.5,74.5
2016-08-06 00:14:59,440.396,441.643487833333,25.5,75.3017
2016-08-06 00:30:00,442.214,442.323590633334,25.4036,75.7018
2016-08-06 00:45:00,446.528,448.071365933333,25.3074,76.2389
2016-08-06 00:59:59,442.905,443.141442933334,25.287,76.5833
2016-08-06 01:15:00,441.336,442.430930966667,24.9316,77.7088
2016-08-06 01:30:00,449.878,449.073196233333,24.5207,80.1655
2016-08-06 01:44:59,446.76,447.041183433334,24.3396,80.8358
2016-08-06 02:00:00,437.247,440.067461033334,24.2093,79.813
2016-08-06 02:15:00,435.173,436.276520533334,23.9909,79.2473
2016-08-06 02:29:59,438.272,437.249487133333,23.6898,80.1017
2016-08-06 02:45:00,436.893,437.455717533334,23.5796,81.0889
2016-08-06 03:00:00,436.345,437.2448359,23.5,81.6113
2016-08-06 03:14:59,439.624,439.352143333334,23.4455,82.02
2016-08-06 03:30:00,441.414,440.433761566667,23.3492,82.3983
2016-08-06 03:45:00,441.901,441.584018266668,23.3,82.887
2016-08-06 03:59:59,445.731,445.263748166667,23.3,83.2642
2016-08-06 04:15:00,447.934,445.5138461,23.3,83.7667
2016-08-06 04:30:00,447.936,445.827258166666,21.45,84.1067
2016-08-06 04:44:59,446.301,446.786583566667,23.3,84.2019
2016-08-06 05:00:00,449.376,448.209824366666,23.3528,84.4377
2016-08-06 05:15:00,450.84,449.065257999999,23.4278,84.5611
2016-08-06 05:29:59,452.044,450.2446524,23.5424,84.4085
2016-08-06 05:45:00,454.059,452.020720533333,23.6,84.2436
2016-08-06 06:00:00,454.314,452.3739756,23.6509,84.2962
2016-08-06 06:14:59,457.081,452.416491833334,23.8259,83.95
2016-08-06 06:30:00,457.676,454.522325666667,24.0828,83.2655
2016-08-06 06:45:00,460.515,453.499999533335,24.24,82.5291
2016-08-06 06:59:59,451.72,448.956503866667,24.4537,81.7259
2016-08-06 07:15:00,448.779,447.160931,24.7189,80.9038
2016-08-06 07:30:00,445.878,445.265292866667,24.9,80.2121
2016-08-06 07:44:59,442.072,442.687238566666,25.2768,78.8482
2016-08-06 08:00:00,440.5,441.005757633333,25.5185,77.2704
2016-08-06 08:15:00,439.578,439.786006333333,25.7352,76.05
2016-08-06 08:29:59,438.211,438.360994166667,26.0439,74.3737
2016-08-06 08:45:00,437.199,437.411277299999,26.5561,72.6526
2016-08-06 09:00:00,433.898,435.009454966666,27.2264,70.2245
2016-08-06 09:14:59,435.079,434.1630327,27.513,68.1944
2016-08-06 09:30:00,431.924,431.5117691,27.7446,66.5911
2016-08-06 09:45:00,430.09,430.207756466666,28.1914,64.6483
2016-08-06 09:59:59,431.093,429.841550499999,28.2774,62.683
2016-08-06 10:15:00,431.045,428.816846666667,27.6241,61.5778
2016-08-06 10:30:00,428.003,428.538103899999,27.7909,61.8655
2016-08-06 10:44:59,420.432,422.299824533333,28.4339,57.6576
2016-08-06 11:00:00,419.071,420.9059417,28.9038,55.4698
2016-08-06 11:15:00,417.956,419.639947466667,29.2481,54.087
2016-08-06 11:29:59,417.071,418.864962399999,29.5185,53.3222
2016-08-06 11:45:00,417.459,418.467469933334,29.9667,51.8
2016-08-06 12:00:00,419.221,419.667650433333,30.087,50.5185
2016-08-06 12:14:59,420.032,419.700759033334,30.163,49.5111
2016-08-06 12:30:00,419.792,419.810841433333,30.2906,47.7472
2016-08-06 12:45:00,418.976,418.979284599999,30.6133,45.4267
2016-08-06 12:59:59,417.538,418.326177866666,30.8648,45.4759
2016-08-06 13:15:00,419.014,418.835747599999,31.2574,43.6981
2016-08-06 13:30:00,418.923,419.253316033333,31.3057,43.0283
2016-08-06 13:44:59,417.951,418.276303466667,31.2847,42.9305
2016-08-06 14:00:00,417.917,418.071627466667,31.8382,41.7927
2016-08-06 14:15:00,417.796,417.894411566667,32.213,40.7148
2016-08-06 14:29:59,417.787,417.8218376,32.483,40.1189
2016-08-06 14:45:00,417.36,417.738676633333,32.7207,39.419
2016-08-06 15:00:00,417.444,417.850471399999,32.8625,38.5375
2016-08-06 15:14:59,417.428,417.833893366666,32.5259,38.4611
2016-08-06 15:30:00,417.84,418.330200433333,32.5208,38.0075
2016-08-06 15:45:00,418.631,418.758053966665,32.8719,37.5439
2016-08-06 15:59:59,419.132,418.897423,33.2228,36.8702
2016-08-06 16:15:00,418.838,419.004020633333,33.3593,36.6259
2016-08-06 16:30:00,419.332,419.311192266666,33.0359,36.7755
2016-08-06 16:44:59,419.496,419.581475966667,32.9,37.2482
2016-08-06 17:00:00,419.322,419.789994633333,32.6155,37.4655
2016-08-06 17:15:00,419.109,419.495795966666,31.7556,38.7296
2016-08-06 17:29:59,418.43,418.825620533332,30.983,39.917
2016-08-06 17:45:00,418.196,418.805133266667,30.3473,41.02
2016-08-06 18:00:00,418.03,418.953778366667,29.8068,41.8729
2016-08-06 18:14:59,419.051,419.996618733334,29.1759,42.5481
