datetime_CO_rf_110,CO_ref_110,CO_fit_110,CO_T_110,CO_RH_110
2016-09-25 16:44:59,86.7,91.6878069933332,24,36.2054
2016-09-25 17:00:00,91.8481,94.2430719566666,23.9065,36.2565
2016-09-25 17:15:00,93.9556,93.6225004,23.8273,36.3109
2016-09-25 17:29:59,112.574,110.616377913333,23.7348,36.4717
2016-09-25 17:45:00,106.244,111.336503346666,23.5357,36.6821
2016-09-25 18:00:00,110.767,131.292455013333,23.3043,37.7304
2016-09-25 18:14:59,123.781,138.275149483334,22.9611,39.037
2016-09-25 18:30:00,128.778,137.717995106666,22.5638,40.334
2016-09-25 18:45:00,133.922,132.325240243333,22.1453,41.2377
2016-09-25 18:59:59,150.085,154.312112633333,21.7918,42.2143
2016-09-25 19:15:00,153.785,153.517710933333,21.4255,43.2843
2016-09-25 19:30:00,161.756,174.365479666666,21.136,44.406
2016-09-25 19:44:59,157.033,158.963323566667,20.812,45.296
2016-09-25 20:00:00,157.796,165.8315511,20.4941,45.7255
2016-09-25 20:15:00,185.067,175.761197133333,20.1857,46.3673
2016-09-25 20:29:59,190.23,204.466820666667,19.8208,46.7736
2016-09-25 20:45:00,220.222,246.546107566666,19.5766,47.7277
2016-09-25 21:00:00,326.585,273.956639866667,17.3704,48.6815
2016-09-25 21:14:59,155.07,155.477257783333,18.913,49.1457
2016-09-25 21:30:00,190.074,216.823909433333,18.5375,49.4964
2016-09-25 21:45:00,206.618,210.438058266667,18.2891,50.9587
2016-09-25 21:59:59,169.304,169.071524766666,18.0509,51.4218
2016-09-25 22:15:00,164.389,170.024183533333,17.8413,52.4196
2016-09-25 22:30:00,162.582,161.677886533333,17.6107,52.6964
2016-09-25 22:44:59,133.489,140.915482033333,17.5,52.6935
2016-09-25 23:00:00,132.878,138.455187266667,17.4509,53.1455
2016-09-25 23:15:00,134.515,139.552696133333,17.3196,53.1696
2016-09-25 23:29:59,146.733,152.6687916,17.1444,54.4648
2016-09-25 23:45:00,168.993,166.745520566667,16.9208,55.4375
2016-09-26 00:00:00,138.622,141.813679233334,16.7623,56.6717
2016-09-26 00:14:59,129.581,136.811846866667,16.5531,56.7918
2016-09-26 00:30:00,136.33,140.3590555,16.3922,57.6529
2016-09-26 00:45:00,162.952,164.570744133333,16.236,59.036
2016-09-26 00:59:59,184.637,189.585145666667,16.06,59.354
2016-09-26 01:15:00,305.163,304.9166948,15.9865,60.0865
2016-09-26 01:30:00,288.696,299.4925509,15.8521,61.2125
2016-09-26 01:44:59,242.167,256.2827398,15.683,62.4604
2016-09-26 02:00:00,189.726,188.0612742,15.5809,62.8362
2016-09-26 02:15:00,182.393,184.650695733333,15.4385,63.8327
2016-09-26 02:29:59,165.226,167.524964533333,15.2812,64.1458
2016-09-26 02:45:00,164.43,171.873366333333,15.1741,65.5685
2016-09-26 03:00:00,160.107,165.373520533334,15.0391,66.087
2016-09-26 03:14:59,173.411,175.444403966667,14.8509,67.1873
2016-09-26 03:30:00,194.774,190.6781935,14.6783,67.6804
2016-09-26 03:45:00,189.378,185.1648246,14.5339,68.8839
2016-09-26 03:59:59,177.752,185.4250525,14.4935,69.6413
2016-09-26 04:15:00,170.078,174.7750101,14.4018,70.5364
2016-09-26 04:30:00,172.904,179.368783966667,14.3304,71.4978
2016-09-26 04:44:59,185.067,194.203378833333,14.2643,72.4696
2016-09-26 05:00:00,212.27,216.318161533333,14.1022,73.237
2016-09-26 05:15:00,234.93,247.717847833333,14.0296,73.463
2016-09-26 05:29:59,266.719,279.905333366667,13.9298,74.0723
2016-09-26 05:45:00,295.281,299.782137766667,13.9,73.9321
2016-09-26 06:00:00,332.011,353.156939399999,13.9,74.7469
2016-09-26 06:14:59,318.078,338.252360200001,13.8865,75.1865
2016-09-26 06:30:00,331.289,334.502122866666,13.9,74.816
2016-09-26 06:45:00,354.744,366.832042366667,14.018,74.842
2016-09-26 06:59:59,540.352,595.702654200001,14.2549,74.4627
2016-09-26 07:15:00,2619.77,2481.4067195,14.6,74.3714
2016-09-26 07:30:00,3234.94,2631.03795243333,15.3208,73.5585
2016-09-26 07:44:59,1985.27,1936.39647563334,16.3723,71.8234
2016-09-26 08:00:00,943.518,1167.1379324,17.7019,69.237
2016-09-26 08:15:00,482.985,492.481907899999,18.5065,67.0174
2016-09-26 08:29:59,418.863,418.205913600001,19.32,65.6673
2016-09-26 08:45:00,371.837,361.7864744,20.2587,64.3456
2016-09-26 09:00:00,274.47,280.9923057,20.9929,63.0821
2016-09-26 09:14:59,231.681,226.897984566667,21.9233,61.3744
2016-09-26 09:30:00,180.319,180.094233733334,22.9288,59.3635
2016-09-26 09:45:00,169.563,166.3825021,23.8542,57.1229
2016-09-26 09:59:59,204.311,194.843934333334,24.9389,55.4389
2016-09-26 10:15:00,183.985,187.4371645,26.1851,53.7404
2016-09-26 10:30:00,191.082,183.374599606667,27.0655,52.3673
2016-09-26 10:44:59,166.648,169.139622606667,27.6804,51.5196
2016-09-26 11:00:00,185.674,178.4771331,28.5273,50.98
2016-09-26 11:15:00,163.841,175.300504633333,29.7109,49.6457
