datetime_CO_rf_120,CO_ref_120,CO_fit_120,CO_T_120,CO_RH_120
2016-09-25 16:44:59,86.7,88.72584332,23.9979,59.1979
2016-09-25 17:00:00,91.8481,90.3658595833333,23.9023,59.2
2016-09-25 17:15:00,93.9556,90.8062412166667,23.8146,59.2
2016-09-25 17:29:59,112.574,107.30577397,23.6812,59.2
2016-09-25 17:45:00,106.244,114.342329133333,23.5465,59.1163
2016-09-25 18:00:00,110.767,122.588449426667,23.2188,59.0458
2016-09-25 18:14:59,123.781,127.819081853333,22.8125,58.9292
2016-09-25 18:30:00,128.778,129.943874183333,22.3568,58.8091
2016-09-25 18:45:00,133.922,138.553536506667,21.9109,58.7348
2016-09-25 18:59:59,150.085,147.3799632,21.5333,58.6479
2016-09-25 19:15:00,153.785,153.995570733334,21.1522,58.5565
2016-09-25 19:30:00,161.756,158.4520818,20.8614,58.4545
2016-09-25 19:44:59,157.033,155.018127866667,20.525,58.4
2016-09-25 20:00:00,157.796,160.143027966667,20.2042,58.325
2016-09-25 20:15:00,185.067,196.978594266667,19.8881,58.2929
2016-09-25 20:29:59,190.23,197.66251578,19.5,58.1396
2016-09-25 20:45:00,220.222,237.827132033333,19.1938,58.0896
2016-09-25 21:00:00,326.585,259.800121966668,18.8814,57.9907
2016-09-25 21:14:59,155.07,180.373802166667,18.5489,57.8894
2016-09-25 21:30:00,190.074,208.273625466667,18.1667,57.8
2016-09-25 21:45:00,206.618,210.387796766667,17.8932,57.7273
2016-09-25 21:59:59,169.304,171.792000233333,17.6553,57.7
2016-09-25 22:15:00,164.389,170.0763599,17.4396,57.6312
2016-09-25 22:30:00,162.582,172.2700066,17.3111,57.6
2016-09-25 22:44:59,133.489,139.535326266667,17.1756,57.5356
2016-09-25 23:00:00,132.878,137.036962393333,17.0729,57.5
2016-09-25 23:15:00,134.515,140.7940588,16.9532,57.4128
2016-09-25 23:29:59,146.733,154.208929233333,16.7628,57.4
2016-09-25 23:45:00,168.993,168.2612971,16.6313,57.3146
2016-09-26 00:00:00,138.622,143.419609866667,16.4021,57.2917
2016-09-26 00:14:59,129.581,134.783353566667,16.2023,57.2
2016-09-26 00:30:00,136.33,140.664116133334,16.0375,57.2
