datetime_NO2_rf_121,NO2_ref_121,NO2_fit_121,NO2_T_121,NO2_RH_121
2016-10-09 00:00:00,6.0521,10.2197386756666,11.2984,77.0918
2016-10-09 00:14:59,5.8096,10.0037789803333,11.1279,77.9475
2016-10-09 00:30:00,3.77967,6.10215467366665,10.9133,77.6733
2016-10-09 00:45:00,1.37076,2.45161461666667,10.6836,77.1869
2016-10-09 00:59:59,0.8983,1.92347142366667,10.5311,77.4656
2016-10-09 01:15:00,0.86617,1.28864214533334,10.3082,77.6787
2016-10-09 01:30:00,0.53288,0.892205099666665,10.059,77.6377
2016-10-09 01:44:59,0.65315,0.942207138999999,10,77.6738
2016-10-09 02:00:00,0.96577,1.12758982966667,10,77.7754
2016-10-09 02:15:00,1.33653,1.42863234566667,9.90984,77.9082
2016-10-09 02:29:59,1.60822,1.60260287566667,9.9,77.6623
2016-10-09 02:45:00,1.45633,1.77111032966667,9.9,77.1689
2016-10-09 03:00:00,1.57666,1.78473842333333,9.9,76.5885
2016-10-09 03:14:59,1.99227,2.06046801666666,9.75902,76.4213
2016-10-09 03:30:00,2.41751,2.64765943466666,9.55738,76.382
2016-10-09 03:45:00,2.69311,2.66651966266666,9.38333,76.6283
2016-10-09 03:59:59,3.058,3.04989151133333,9.20167,77.0983
2016-10-09 04:15:00,3.13109,3.17853869966667,9.00833,77.3483
2016-10-09 04:30:00,3.00958,3.45921078033333,8.9,76.98
2016-10-09 04:44:59,3.0992,3.27654064966667,8.94167,76.475
2016-10-09 05:00:00,3.2413,3.15130995766666,9,75.8483
2016-10-09 05:15:00,4.7378,4.19497405400001,8.915,76.11
2016-10-09 05:29:59,5.3489,4.727234521,8.79667,76.8
2016-10-09 05:45:00,4.9131,4.71184345966667,8.66667,76.9567
2016-10-09 06:00:00,4.9733,4.72996453566667,8.52459,77.0656
2016-10-09 06:14:59,4.8402,4.49864357100001,8.5,77.6689
2016-10-09 06:30:00,4.5988,4.63402611333333,8.5,78.4
2016-10-09 06:45:00,4.3398,4.455503199,8.5,78.5525
2016-10-09 06:59:59,4.5449,4.52874165466667,8.5,78.9344
2016-10-09 07:15:00,4.7054,4.59143076466667,8.53934,79.1951
2016-10-09 07:30:00,4.6409,4.55189177833334,8.74098,79.1623
2016-10-09 07:44:59,5.9145,5.988876381,9.02623,78.682
2016-10-09 08:00:00,4.0574,2.96362806899999,9.68688,77.277
2016-10-09 08:15:00,3.88894,2.93040798133334,10.4,76.1082
2016-10-09 08:29:59,3.57221,3.118734037,11.1115,74.5312
2016-10-09 08:45:00,3.34501,3.14288001,11.6623,72.7066
2016-10-09 09:00:00,3.12075,3.07177566966667,12.0983,71.6217
2016-10-09 09:14:59,2.57299,2.726150605,12.6508,70.3787
2016-10-09 09:30:00,2.3435,2.43083222333333,13.1754,68.8279
2016-10-09 09:45:00,1.76966,1.97193252866667,13.6328,67.3103
2016-10-09 09:59:59,1.64831,1.93594506433333,13.918,65.7377
2016-10-09 10:15:00,1.50237,1.97798744866667,14.2295,64.1951
2016-10-09 10:30:00,1.67793,1.993023003,14.4492,63.1246
2016-10-09 10:44:59,1.71361,1.92518106533333,14.915,61.455
2016-10-09 11:00:00,1.99944,2.29512972366667,15.2869,60.1262
