datetime_NO2_rf_107,NO2_ref_107,NO2_fit_107,NO2_T_107,NO2_RH_107
2016-10-09 00:00:00,6.0521,9.96621120066665,10.5907,78.1259
2016-10-09 00:14:59,5.8096,12.6471088156666,10.4455,79.0255
2016-10-09 00:30:00,3.77967,9.70285114566665,10.25,78.9
2016-10-09 00:45:00,1.37076,4.75491398133333,10.1055,78.4127
2016-10-09 00:59:59,0.8983,2.55129770233333,9.98182,78.5855
2016-10-09 01:15:00,0.86617,2.13194335733334,9.82364,78.7345
2016-10-09 01:30:00,0.53288,1.84771659366667,9.64286,78.6625
2016-10-09 01:44:59,0.65315,2.789324073,7.83667,78.6583
2016-10-09 02:00:00,0.96577,2.18240107766667,9.5,78.6727
2016-10-09 02:15:00,1.33653,3.677666262,9.5,78.7111
2016-10-09 02:29:59,1.60822,3.00962290533333,9.5,78.4927
2016-10-09 02:45:00,1.45633,2.30533858066667,9.5,78.0107
2016-10-09 03:00:00,1.57666,1.93357987333333,9.5,77.4417
2016-10-09 03:14:59,1.99227,2.245385945,9.4,77.2764
2016-10-09 03:30:00,2.41751,2.51782714066666,9.21091,77.2891
2016-10-09 03:45:00,2.69311,2.99548794066666,8.92222,77.513
2016-10-09 03:59:59,3.058,3.13079706633333,8.72857,77.9214
2016-10-09 04:15:00,3.13109,3.24481457733333,8.56833,78.2983
2016-10-09 04:30:00,3.00958,3.38671692133333,8.5,78.0655
2016-10-09 04:44:59,3.0992,3.431022815,8.51091,77.5891
2016-10-09 05:00:00,3.2413,3.75372990766666,8.6,77.0333
2016-10-09 05:15:00,4.7378,4.10928730466668,8.53214,77.1268
2016-10-09 05:29:59,5.3489,4.50666656033332,8.3,77.7617
2016-10-09 05:45:00,4.9131,4.94309451133334,8.10182,78.0036
2016-10-09 06:00:00,4.9733,4.879078661,8.03091,78.1709
2016-10-09 06:14:59,4.8402,4.84762171366667,7.93273,78.7273
2016-10-09 06:30:00,4.5988,4.51663470366667,8.05179,79.3429
2016-10-09 06:45:00,4.3398,4.71372109066666,8.05667,79.565
2016-10-09 06:59:59,4.5449,4.662475149,8,79.86
2016-10-09 07:15:00,4.7054,4.95550569866667,8.07091,80.0982
2016-10-09 07:30:00,4.6409,5.14530701066666,6.45091,80.0564
2016-10-09 07:44:59,5.9145,5.35142068266667,8.51964,79.6321
2016-10-09 08:00:00,4.0574,4.01994188633333,9.125,78.5917
2016-10-09 08:15:00,3.88894,3.61444550433334,10.0145,77.42
2016-10-09 08:29:59,3.57221,2.786646946,10.7167,76
2016-10-09 08:45:00,3.34501,3.56401940666667,11.1782,74.3527
2016-10-09 09:00:00,3.12075,3.218131362,11.5357,73.4286
2016-10-09 09:14:59,2.57299,2.93817007566666,11.9883,72.4683
2016-10-09 09:30:00,2.3435,2.55054090799999,12.4963,71.1889
2016-10-09 09:45:00,1.76966,2.01236400433334,11.1,69.8291
2016-10-09 09:59:59,1.64831,2.123774787,13.18,68.5345
2016-10-09 10:15:00,1.50237,1.98668103033334,13.4714,67.1196
2016-10-09 10:30:00,1.67793,2.671953099,13.7424,65.0492
2016-10-09 10:44:59,1.71361,2.406512724,14.2127,64.6455
2016-10-09 11:00:00,1.99944,2.57835793166668,14.6636,63.2855
2016-10-09 11:15:00,2.54163,2.95966477033333,15.0185,62.3981
2016-10-09 11:29:59,3.33464,3.05891498000001,15.1807,61.8211
2016-10-09 11:45:00,2.233,2.49724957566666,15.5644,60.2576
2016-10-09 12:00:00,2.33472,2.72511301166667,15.7056,59.7426
2016-10-09 12:14:59,2.54334,2.70986546566666,16.1655,58.7127
2016-10-09 12:30:00,2.75479,2.84329977433333,16.3,58.0278
2016-10-09 12:45:00,2.61748,2.73149161033333,16.2966,57.3948
2016-10-09 12:59:59,3.08457,2.88152034266667,16.0594,57.7377
2016-10-09 13:15:00,2.24359,2.53119530033333,15.9109,56.9473
2016-10-09 13:30:00,2.33773,2.71019847666667,16.0643,56.2857
2016-10-09 13:44:59,3.1604,3.21131866766666,16.1119,56.5051
2016-10-09 14:00:00,3.14783,3.07750322833333,14.4564,56.4782
2016-10-09 14:15:00,2.76253,2.83758323933333,16.3,56.0222
2016-10-09 14:29:59,2.7195,2.952036297,16.3,55.3345
2016-10-09 14:45:00,2.90516,4.02467952533334,16.3,54.9965
2016-10-09 15:00:00,5.98,5.07756472200001,16.3,55.3644
2016-10-09 15:14:59,3.09389,3.72252175866667,16.3,55.2963
2016-10-09 15:30:00,3.24931,3.22522278866666,16.2836,55.5091
2016-10-09 15:45:00,2.42873,3.83410055200001,16.0836,55.1364
2016-10-09 15:59:59,2.83799,3.56643091633333,16.0259,55.269
2016-10-09 16:15:00,2.56633,3.52861365666667,15.8483,55.2914
2016-10-09 16:30:00,2.68247,2.85216913366666,15.6491,55.4236
2016-10-09 16:44:59,3.34219,3.347315879,15.4389,56.3352
2016-10-09 17:00:00,3.8056,3.63052308566666,15.3655,55.8836
2016-10-09 17:15:00,2.55198,3.24750926599999,15.2052,56.5759
2016-10-09 17:29:59,2.86468,3.06845386766667,15.0034,57.1724
2016-10-09 17:45:00,3.15469,3.294763301,14.7,57.8537
2016-10-09 18:00:00,3.34628,3.53540354466666,14.3982,58.1891
2016-10-09 18:14:59,2.89676,3.074343628,13.9436,58.8673
2016-10-09 18:30:00,3.45634,3.61887758533333,13.6845,59.7259
2016-10-09 18:45:00,3.49795,3.50914975133333,13.5404,60.4351
2016-10-09 18:59:59,3.11883,3.280028673,13.4509,61.1091
2016-10-09 19:15:00,4.7349,4.42431063599999,13.3056,61.9037
2016-10-09 19:30:00,3.66352,3.55371111200001,13.1382,62.7782
2016-10-09 19:44:59,3.509,3.35038431633333,12.9407,63.7153
2016-10-09 20:00:00,3.51442,3.41817455066666,12.6386,64.6912
2016-10-09 20:15:00,3.17604,3.28491260033333,12.4574,65.5741
2016-10-09 20:29:59,2.81026,2.71647073233333,12.2964,66.3455
2016-10-09 20:45:00,2.64216,2.624375368,12.0909,66.9818
2016-10-09 21:00:00,2.02413,2.071707682,11.9119,67.7339
2016-10-09 21:14:59,1.56017,2.00804262533333,11.7125,68.5
2016-10-09 21:30:00,1.63442,2.26083519733333,11.4309,69.2945
2016-10-09 21:45:00,1.90123,2.084409559,11.2164,70.0964
2016-10-09 21:59:59,1.3235,1.77525952433333,11.0759,70.7611
2016-10-09 22:15:00,1.1606,1.48617138033334,10.935,71.22
2016-10-09 22:30:00,0.91761,1.156844755,10.7125,71.6911
2016-10-09 22:44:59,0.99386,1.24471379466667,10.5745,72.1127
