datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-25 14:15:00,43.3237,42.93279411,23.5,43.7
2016-09-25 14:29:59,43.6286,42.35197055,23.25,43.65
2016-09-25 14:45:00,44.1207,43.69570452,23.2,43.4
2016-09-25 15:00:00,44.1655,43.6043315333334,23.1667,42.6333
2016-09-25 15:14:59,43.8523,43.3837098866667,23.1,42.15
2016-09-25 15:30:00,44.3169,43.9835854900001,23.1,42.2
2016-09-25 15:45:00,44.6483,43.4432885633334,23.1,41.7
2016-09-25 15:59:59,42.9005,42.0875223333334,23.2,41.4
2016-09-25 16:15:00,42.59,42.2702072866667,23.35,40.95
2016-09-25 16:30:00,41.8498,40.77343333,23.4,40.7
2016-09-25 16:44:59,41.0349,41.4011019866667,23.35,41
2016-09-25 17:00:00,39.4938,40.7041256666667,23.2,41.0667
2016-09-25 17:15:00,40.5895,40.9093837666667,23.15,41.15
2016-09-25 17:29:59,35.2602,36.0362083733335,23.05,41.35
2016-09-25 17:45:00,27.9287,33.0518628366667,22.85,41.35
2016-09-25 18:00:00,23.7262,30.5031406633333,22.4667,42.3667
2016-09-25 18:14:59,23.1887,27.57083649,22.05,43.75
2016-09-25 18:30:00,27.4872,29.6662317566666,21.6,44.75
2016-09-25 18:45:00,29.5296,31.84929763,21.2,45.55
2016-09-25 18:59:59,28.8104,30.7901540666667,20.7,46.6667
2016-09-25 19:15:00,28.4051,29.9948965833333,20.25,47.75
2016-09-25 19:30:00,27.5838,28.94944396,20.05,48.75
2016-09-25 19:44:59,27.2225,28.6289383133333,19.75,49.4
2016-09-25 20:00:00,26.2981,27.5218215366667,19.45,49.95
2016-09-25 20:15:00,23.8639,23.4662688466667,19.0333,50.7667
2016-09-25 20:29:59,23.1672,22.0745439966666,18.6,51.55
2016-09-25 20:45:00,20.8416,20.2023776523333,18.3,52.05
2016-09-25 21:00:00,20.1816,20.286519732,18,52.65
2016-09-25 21:14:59,21.8199,20.036835801,17.6,53.5333
2016-09-25 21:30:00,18.7098,18.9135531953333,17.2,54.45
2016-09-25 21:45:00,15.3493,16.89686475,16.95,55.15
2016-09-25 21:59:59,17.892,17.8832134806666,16.75,55.65
2016-09-25 22:15:00,16.3502,16.73480029,16.5,56.3667
2016-09-25 22:30:00,16.476,16.89765156,16.3,56.7
2016-09-25 22:44:59,20.3054,19.776953336,16.25,56.6
2016-09-25 23:00:00,20.6715,19.954646476,16.2,56.8
